gender,workActivity,occupationIndustry,totalIncome,relationshipStatus,habitationStatus,schoolAttendance,schools,age,cust_id_new,em_elig,dm_elig,lang
Male,fulltime,,400000,Single,Group,,,36,100001,Y,Y,E
Female,fulltime,5221 Depository credit intermediation,40009.2,Married,With Spouse,,,44,100002,Y,Y,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,28,100003,Y,Y,F
Other,fulltime,"5412 Accounting, tax preparation, bookkeeping and payroll services",44709,Married,With Spouse,,,38,100004,N,Y,E
Male,fulltime,4855 Charter bus industry,421496,Single,With Parent,,,38,100005,Y,N,E
Female,parttime,"5111 Newspaper, periodical, book and director publishers",412545.28,Married,With Spouse,Apprenticeship,,26,100006,Y,Y,F
Male,parttime,3254 Pharmaceutical and medicine manufacturing,411898.75,Married,With Spouse,,,71,100007,Y,Y,E
Male,fulltime,8111 Automotive repair and maintenance,136281.2,Single,,,,47,100008,N,Y,E
Male,fulltime,"5419 Other professional, scientific and technical services",423638.89,Single,With Spouse,Apprenticeship,,28,100009,Y,Y,F
Female,fulltime,8121 Personal care services,81848.95,Married,With Spouse,,,58,100010,Y,N,E
Other,fulltime,6113 Universities,35696,Divorced,With Parent,,,38,100011,Y,Y,E
Male,fulltime,8133 Social advocacy organizations,109851.35,Divorced,,,,71,100012,N,Y,F
Female,parttime,7132 Gambling industries,422797.6,Married,With Spouse,,,58,100013,Y,Y,E
Female,fulltime,Retired,57978.9,Single,,,,46,100014,Y,Y,E
Male,fulltime,Retired,413271.3,Married,With Spouse,,,78,100015,Y,N,F
Female,fulltime,"5111 Newspaper, periodical, book and director publishers",85149.45,Widowed,,,,67,100016,N,Y,E
Male,fulltime,4533 Used merchandise stores,108181.25,Divorced,,,,64,100017,Y,Y,E
Female,fulltime,Retired,427456.1,Widowed,Group,,,41,100018,Y,Y,F
Female,parttime,4481 Clothing stores,406095.1,Single,With Parent,College,,26,100019,Y,Y,E
Female,fulltime,6111 Elementary and secondary schools,431453,Married,With Spouse,,,43,100020,N,N,E
Male,parttime,"5412 Accounting, tax preparation, bookkeeping and payroll services",415948.57,Single,With Parent,Apprenticeship,,29,100021,Y,Y,F
Male,fulltime,,400000,Married,With Spouse,,,55,100022,Y,Y,E
Male,parttime,6230 Nursing and residential care facilities (6231 to 6239),419541,Married,With Spouse,,,42,100023,Y,Y,E
Female,parttime,9120 Provincial and territorial public administration (9121 to 9129),409684.84,Single,With Parent,Apprenticeship,,30,100024,N,Y,F
Female,parttime,"4511 Sporting goods, hobby and musical instrument stores",426302.1,Separate,With Parent,,,53,100025,Y,N,E
Male,fulltime,"5418 Advertising, public relations, and related services",94400,Single,,,,38,100026,Y,Y,E
Male,fulltime,,400000,Married,With Spouse,,,43,100027,Y,Y,F
Female,parttime,6113 Universities,403928.98,Single,With Parent,Apprenticeship,,31,100028,N,Y,E
Female,fulltime,Retired,53596.2,Widowed,,,,57,100029,Y,Y,E
Female,fulltime,Retired,49325.5,Widowed,,,,47,100030,Y,N,F
Female,fulltime,Retired,431535.7,Single,,,,41,100031,Y,Y,E
Female,parttime,5411 Legal services,410246.5,Married,With Spouse,,,47,100032,N,Y,E
Other,fulltime,Retired,412556.6,Married,With Spouse,,,75,100033,Y,Y,F
Male,parttime,"5419 Other professional, scientific and technical services",404521.66,Single,With Parent,Apprenticeship,,28,100034,Y,Y,E
Male,fulltime,3364 Aerospace product and parts manufacturing,119147,Separate,Group,,,38,100035,Y,N,E
Male,fulltime,,400000,Single,With Parent,,,40,100036,N,Y,F
Female,fulltime,6111 Elementary and secondary schools,78233,Single,,,,39,100037,Y,Y,E
Other,fulltime,5221 Depository credit intermediation,46192.05,Divorced,With Spouse,,,58,100038,Y,Y,E
Male,fulltime,5221 Depository credit intermediation,70577.4,Single,,,,66,100039,Y,Y,F
Male,fulltime,Retired,62988.8,Widowed,,,,39,100040,N,N,E
Other,parttime,"9130 Local, municipal and regional public administration (9131 and 9",406066.72,Single,With Parent,Apprenticeship,,27,100041,Y,Y,E
Male,parttime,7222 Limited-service restaurants,417253,Single,With Parent,,,37,100042,Y,Y,F
Other,parttime,4543 Direct selling establishments,430164.5,Married,With Spouse,,,61,100043,Y,Y,E
Female,fulltime,Retired,432016.6,Widowed,Group,,,55,100044,N,Y,E
Female,fulltime,5241 Insurance carriers,420971.83,Single,With Parent,College,,33,100045,Y,N,F
Female,fulltime,3353 Electrical equipment manufacturing,47944.6,Single,Group,,,51,100046,Y,Y,E
Female,parttime,6113 Universities,409329.43,Single,With Parent,College,,34,100047,Y,Y,E
Male,parttime,7223 Special food services,416506.6,Married,With Spouse,,,50,100048,N,Y,F
Female,fulltime,4821 Rail transportation,42802,Separate,With Parent,,,36,100049,Y,Y,E
Female,fulltime,6244 Child day-care services,126598.9,Single,,,,60,100050,Y,N,E
Female,parttime,7139 Other amusement and recreation industries,413345.86,Single,With Parent,Apprenticeship,,26,100051,Y,Y,F
Female,parttime,2122 Metal ore mining,427631.7,Married,With Spouse,,,69,100052,N,Y,E
Male,fulltime,6111 Elementary and secondary schools,44012,Married,With Spouse,,,35,100053,Y,Y,E
Male,parttime,"3252 Resin, synthetic rubber, and artificial and synthetic fibres an",418581,Married,,,,41,100054,Y,Y,F
Other,fulltime,3261 Plastic product manufacturing,231327.8,Single,,,,48,100055,Y,N,E
Other,fulltime,Retired,54497.8,Married,With Spouse,,,77,100056,N,Y,E
Other,fulltime,5617 Services to buildings and dwellings,424544,Single,With Parent,,,39,100057,Y,Y,F
Male,parttime,"5418 Advertising, public relations, and related services",419411,Married,With Spouse,,,39,100058,Y,Y,E
Male,parttime,3399 Other miscellaneous manufacturing,406743.88,Single,With Parent,College,,25,100059,Y,Y,E
Female,parttime,6244 Child day-care services,431692.95,Married,With Spouse,,,70,100060,N,N,F
Female,fulltime,6230 Nursing and residential care facilities (6231 to 6239),81900.5,Divorced,Group,,,51,100061,Y,Y,E
Male,fulltime,"5416 Management, scientific and technical consulting services",35941.4,Married,With Spouse,,,43,100062,Y,Y,E
Other,fulltime,,400000,Single,With Parent,Secondary,1,32,100063,Y,Y,F
Male,parttime,"5418 Advertising, public relations, and related services",410273.89,Single,With Parent,Apprenticeship,,32,100064,N,Y,E
Female,parttime,6113 Universities,421196.8,Married,With Spouse,,,63,100065,Y,N,E
Male,fulltime,Retired,416604,Married,,,,75,100066,Y,Y,F
Male,parttime,5172 Wireless telecommunications carriers (except satellite),420267.3,Married,With Spouse,,,71,100067,Y,Y,E
Female,parttime,8113 Commercial and industrial machinery and equipment (except autom,413858.02,Single,With Parent,Apprenticeship,,29,100068,N,Y,E
Female,fulltime,8114 Personal and household goods repair and maintenance,52704.5,Divorced,,,,58,100069,Y,Y,F
Other,parttime,5221 Depository credit intermediation,425999.6,Married,With Spouse,,,68,100070,Y,N,E
Female,fulltime,8134 Civic and social organizations,35472.05,Married,With Spouse,,,72,100071,Y,Y,E
Male,fulltime,8111 Automotive repair and maintenance,422991.76,Single,,College,,34,100072,N,Y,F
Female,fulltime,,400000,Single,,,,40,100073,Y,Y,E
Male,parttime,3344 Semiconductor and other electronic component manufacturing,419559.1,Single,Group,Apprenticeship,,34,100074,Y,Y,E
Male,fulltime,5221 Depository credit intermediation,65475,Single,,,,42,100075,Y,N,F
Female,parttime,"5416 Management, scientific and technical consulting services",429565.8,Married,With Spouse,,,45,100076,N,Y,E
Male,fulltime,5411 Legal services,39615.2,Married,With Spouse,,,62,100077,Y,Y,E
Female,fulltime,Retired,424842.3,Married,With Spouse,,,45,100078,Y,Y,F
Male,parttime,4151 Motor vehicle wholesaler-distributors,418465.81,Single,,Apprenticeship,,29,100079,Y,Y,E
Female,fulltime,,400000,Single,With Spouse,College,,25,100080,N,N,E
Female,fulltime,"5416 Management, scientific and technical consulting services",75512.8,Separate,Group,,,53,100081,Y,Y,F
Other,parttime,6220 Hospitals (6221 to 6223),414913,Married,With Spouse,,,40,100082,Y,Y,E
Male,parttime,5239 Other financial investment activities,432994.65,Single,With Parent,,,60,100083,Y,Y,E
Female,fulltime,3261 Plastic product manufacturing,48396.6,Married,With Spouse,,,58,100084,N,Y,F
Male,fulltime,4841 General freight trucking,50631,Single,With Spouse,,,37,100085,Y,N,E
Female,fulltime,"5111 Newspaper, periodical, book and director publishers",108203,Single,With Parent,,,40,100086,Y,Y,E
Male,fulltime,"4172 Construction, forestry, mining, and industrial machinery, equip",424439,Single,With Parent,,,38,100087,Y,Y,F
Female,fulltime,5171 Wired telecommunications carriers,39006.05,Married,With Spouse,,,72,100088,N,Y,E
Male,parttime,5411 Legal services,418164.52,Single,With Spouse,College,,34,100089,Y,Y,E
Male,fulltime,6220 Hospitals (6221 to 6223),242552.2,Single,,,,52,100090,Y,N,F
Female,fulltime,Retired,427118.7,Married,With Spouse,,,42,100091,Y,Y,E
Other,fulltime,4152 New motor vehicle parts and accessories wholesaler-distributors,37048.4,Married,With Spouse,,,55,100092,N,Y,E
Female,fulltime,5411 Legal services,93360,Married,With Spouse,,,43,100093,Y,Y,F
Male,fulltime,Retired,431509.1,Married,With Spouse,,,43,100094,Y,Y,E
Male,parttime,5191 Other information services,434386.15,Married,With Spouse,,,60,100095,Y,N,E
Male,fulltime,5411 Legal services,39234,Divorced,With Parent,,,36,100096,N,Y,F
Female,fulltime,5191 Other information services,56335.4,Divorced,Group,,,51,100097,Y,Y,E
Male,fulltime,"5413 Architectural, engineering and related services",73146.9,Married,With Spouse,,,53,100098,Y,Y,E
Male,parttime,5151 Radio and television broadcasting,427729.9,Married,With Spouse,,,50,100099,Y,Y,F
Male,fulltime,"5412 Accounting, tax preparation, bookkeeping and payroll services",82915.8,Single,,,,47,100100,N,N,E
Other,parttime,"5242 Agencies, brokerages and other insurance related activities",419430.35,Married,With Spouse,,,72,100101,Y,Y,E
Female,fulltime,"5413 Architectural, engineering and related services",91687.2,Divorced,,,,50,100102,Y,Y,F
Female,fulltime,,400000,Single,With Parent,Secondary,1,31,100103,Y,Y,E
Female,fulltime,5415 Computer systems design and related services,420519.4,Married,With Spouse,Apprenticeship,,29,100104,N,Y,E
Female,fulltime,3353 Electrical equipment manufacturing,420614.77,Single,Group,College,,33,100105,Y,N,F
Female,fulltime,Retired,35506.1,Widowed,,,,46,100106,Y,Y,E
Female,parttime,4521 Department stores,417214.35,Married,With Spouse,,,63,100107,Y,Y,E
Female,fulltime,5415 Computer systems design and related services,122124.25,Married,With Spouse,,,56,100108,N,Y,F
Female,parttime,2382 Building equipment contractors,417579.43,Single,With Parent,College,,26,100109,Y,Y,E
Male,parttime,5241 Insurance carriers,427539.55,Married,With Spouse,,,67,100110,Y,N,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,32,100111,Y,Y,F
Female,parttime,5411 Legal services,429987.7,Divorced,Group,,,71,100112,N,Y,E
Female,parttime,"5413 Architectural, engineering and related services",409599.37,Single,With Parent,Apprenticeship,,31,100113,Y,Y,E
Female,parttime,6214 Out-patients care centres,431536.45,Married,With Spouse,,,55,100114,Y,Y,F
Female,fulltime,5221 Depository credit intermediation,74513.25,Divorced,,,,66,100115,Y,N,E
Male,parttime,4529 Other general merchandise stores,414029.62,Single,With Parent,Apprenticeship,,26,100116,N,Y,E
Male,fulltime,4481 Clothing stores,430413,Married,With Spouse,,,38,100117,Y,Y,F
Male,fulltime,6111 Elementary and secondary schools,87935.1,Single,Group,,,45,100118,Y,Y,E
Male,parttime,5239 Other financial investment activities,410248.81,Single,With Parent,College,,33,100119,Y,Y,E
